timeStamop, method, fileName, #c, #parking, #mm, #sev, time, objValue, gap
03-02-2026-01-29,c,"ce2-3,5,30",30,7,4,6,142.76205492019653,583.7433187777685,/
03-02-2026-01-29,bp,"ci5-3,5,50",50,7,4,9,282.5448639392853,730.457372304824,/
03-02-2026-01-29,bp,"ce5-3,5,50",50,7,4,9,337.7617619037628,728.449915009915,/
03-02-2026-01-29,bp,"cg5-6,4,30",30,9,5,5,323.1090588569641,531.9753378207783,/
03-02-2026-01-29,bp,"ci4-3,5,50",50,7,4,10,297.4502680301666,743.554675470292,/
03-02-2026-01-29,c,"cf2-3,5,30",30,7,4,6,344.8362159729004,589.9729225892,/
03-02-2026-01-29,bp,"ci2-6,4,30",30,9,5,6,350.8491258621216,638.3603523936565,/
03-02-2026-01-29,c,"cg2-6,4,30",30,9,5,6,370.30948996543884,599.3686858040887,/
03-02-2026-01-29,bp,"cg2-3,5,30",30,7,4,6,384.1333329677582,569.7505096464042,/
03-02-2026-01-29,c,"ci1-2,3,50",50,4,2,11,330.8421239852905,858.5823907095596,/
03-02-2026-01-29,bp,"cf5-2,3,50",50,4,2,11,390.30421209335327,884.6124850704075,/
03-02-2026-01-30,c,"cf4-6,4,30",30,9,5,5,386.2319881916046,583.7625972455997,/
03-02-2026-01-30,bp,"cg4-6,4,50",50,9,5,9,380.2684259414673,734.6304763699957,/
03-02-2026-01-30,c,"cf5-3,5,30",30,7,4,6,407.62676215171814,523.2145956095126,/
03-02-2026-01-30,bp,"ci4-6,4,50",50,9,5,9,372.83338499069214,766.1060066969869,/
03-02-2026-01-31,bp,"ce2-2,3,50",50,4,2,12,314.2284150123596,929.5958688647884,/
03-02-2026-01-31,c,"ci4-6,4,30",30,9,5,6,421.9470579624176,590.1071220838071,/
03-02-2026-01-31,bp,"ce4-2,3,50",50,4,2,12,333.08691906929016,863.4433060810143,/
03-02-2026-01-31,c,"ci4-2,3,50",50,4,2,11,433.4391839504242,855.0023540299476,/
03-02-2026-01-31,c,"ci5-2,3,50",50,4,2,12,448.0770800113678,909.0890005730073,/
